Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Golden State Warriors,66,15915,40.2,88.7,.453,7.6,20.9,.365,32.5,67.8,.480,21.0,28.2,.747,14.2,35.2,49.4,24.9,8.1,5.4,16.0,17.9,109.1,2013
New Jersey Nets,66,15890,41.9,88.7,.472,7.2,19.3,.374,34.7,69.4,.500,18.5,25.0,.740,13.1,34.0,47.1,25.8,8.8,5.5,15.8,21.3,109.6,2013
Sacramento Kings,66,15915,42.5,89.3,.476,7.0,19.7,.355,35.5,69.7,.510,17.8,23.4,.762,13.0,34.3,47.3,25.0,8.3,6.7,16.2,20.9,109.8,2013
Charlotte Bobcats,66,15890,42.6,89.7,.475,6.7,18.9,.356,35.8,70.8,.506,18.5,24.6,.750,12.9,36.4,49.3,25.5,8.3,6.3,14.8,22.2,110.4,2013
Indiana Pacers*,81,19590,38.0,90.4,.420,6.0,18.3,.327,32.0,72.2,.444,17.9,23.5,.760,12.3,32.6,45.0,21.1,8.3,6.2,14.9,24.1,99.8,2014
Memphis Grizzlies*,82,19805,37.7,86.5,.435,6.9,20.4,.338,30.7,66.1,.465,18.1,24.2,.748,11.6,32.3,43.9,21.9,8.2,6.2,17.4,22.5,100.3,2014
San Antonio Spurs*,82,19880,39.5,89.2,.442,6.7,18.9,.353,32.8,70.4,.466,16.0,21.0,.760,11.7,33.0,44.7,22.5,8.7,5.2,15.7,20.1,101.6,2014
Oklahoma City Thunder*,82,19830,38.5,90.4,.425,7.9,22.8,.346,30.5,67.6,.452,17.8,23.0,.774,12.8,30.5,43.3,21.8,8.7,4.2,15.7,22.0,102.6,2014
Washington Wizards,82,19855,38.6,87.8,.440,7.7,22.0,.349,30.9,65.8,.470,18.1,24.5,.738,11.8,35.7,47.5,23.2,8.4,4.7,15.6,20.6,103.0,2014
Chicago Bulls*,82,19830,39.4,88.9,.443,6.1,17.7,.346,33.2,71.2,.467,18.3,24.7,.739,12.2,33.4,45.6,20.9,8.1,6.5,15.2,21.8,103.2,2014
Boston Celtics*,81,19840,38.6,87.5,.441,7.3,21.2,.342,31.3,66.3,.472,18.9,25.5,.740,12.2,34.3,46.5,23.1,8.4,5.0,16.3,20.8,103.3,2014
Los Angeles Clippers*,82,19730,37.8,85.4,.443,8.4,22.4,.373,29.5,62.9,.468,19.6,26.1,.749,11.9,30.9,42.8,24.2,8.1,4.5,17.6,22.8,103.6,2014
Miami Heat*,82,19880,38.9,88.3,.440,8.3,23.7,.350,30.6,64.6,.473,17.7,23.1,.766,12.3,31.5,43.8,22.0,8.6,3.5,17.0,22.3,103.7,2014
Atlanta Hawks*,82,19855,40.1,89.0,.450,8.1,21.3,.379,32.0,67.7,.473,16.1,21.1,.763,12.1,34.7,46.8,23.8,9.0,4.6,16.3,20.1,104.4,2014
Denver Nuggets*,82,19905,39.6,89.1,.444,8.7,24.0,.363,30.9,65.1,.474,17.2,23.6,.731,12.9,30.3,43.3,24.6,8.3,7.0,16.6,22.5,105.1,2014
Milwaukee Bucks*,82,19830,40.3,88.8,.454,6.8,19.4,.348,33.5,69.4,.483,17.9,23.5,.759,13.0,35.2,48.3,24.2,8.4,4.6,16.7,20.0,105.2,2014
Minnesota Timberwolves,82,19730,40.8,87.2,.468,7.5,20.4,.369,33.2,66.8,.498,16.3,21.6,.752,11.4,33.8,45.3,24.0,8.7,6.3,17.1,24.2,105.4,2014
Golden State Warriors*,82,19805,39.1,89.2,.439,8.4,24.3,.347,30.7,64.9,.473,18.8,25.1,.748,11.6,33.3,44.9,24.8,8.6,5.1,14.2,20.2,105.5,2014
Philadelphia 76ers,82,19755,40.3,88.7,.454,7.3,21.0,.349,32.9,67.7,.487,17.8,23.4,.760,12.1,36.1,48.2,25.0,7.9,5.3,15.7,17.8,105.7,2014
Houston Rockets*,82,19780,40.2,88.5,.454,8.3,22.7,.368,31.9,65.8,.484,17.3,22.4,.776,11.1,32.1,43.1,23.5,8.7,6.3,15.3,21.1,106.1,2014
Brooklyn Nets*,82,19855,41.8,90.1,.464,7.1,19.3,.366,34.7,70.8,.490,15.6,21.4,.731,12.0,31.8,43.8,23.9,8.4,5.3,15.0,23.8,106.2,2014
New York Knicks*,82,19730,39.5,86.2,.458,8.7,24.2,.357,30.9,62.0,.498,18.7,24.7,.757,11.2,35.1,46.3,21.4,7.1,4.4,16.8,21.4,106.3,2014
Dallas Mavericks,82,19980,39.2,88.0,.445,8.2,22.8,.359,31.0,65.1,.475,20.0,26.6,.753,12.6,35.1,47.7,23.1,8.9,4.3,15.4,19.8,106.5,2014
Los Angeles Lakers*,82,19755,41.8,92.4,.453,7.9,22.1,.357,34.0,70.3,.483,15.0,20.5,.732,12.2,32.8,45.0,24.7,9.0,5.1,13.6,24.3,106.6,2014
Utah Jazz,82,19880,39.9,87.0,.458,7.4,20.1,.370,32.4,66.9,.485,19.6,25.9,.757,12.0,32.5,44.4,22.4,8.5,6.4,16.0,22.2,106.8,2014
Toronto Raptors,82,19980,39.5,86.3,.458,7.3,20.1,.361,32.2,66.2,.487,21.3,28.5,.747,11.7,33.8,45.5,23.9,7.7,5.1,15.5,21.9,107.5,2014
Detroit Pistons,82,19805,40.8,88.8,.459,8.1,22.4,.360,32.7,66.4,.492,18.5,24.3,.762,12.2,33.5,45.7,24.5,9.2,6.3,15.0,21.7,108.1,2014
Phoenix Suns,82,19805,41.3,87.8,.470,7.4,19.0,.388,33.9,68.8,.492,18.2,24.1,.757,12.4,33.7,46.1,24.3,8.9,5.5,16.3,19.6,108.1,2014
Orlando Magic,82,19780,41.7,90.1,.463,8.1,22.7,.359,33.6,67.4,.498,17.6,23.8,.738,11.7,34.5,46.2,25.6,7.8,5.7,13.4,17.8,109.1,2014
Portland Trail Blazers,82,19855,42.6,90.0,.474,6.9,20.3,.340,35.8,69.8,.512,17.0,22.4,.761,11.9,34.1,46.0,25.7,9.1,4.7,14.2,20.3,109.2,2014
Cleveland Cavaliers,82,19730,41.0,86.0,.476,8.0,21.6,.372,32.9,64.4,.511,19.4,26.2,.739,11.7,33.8,45.5,25.9,8.2,7.4,16.5,21.3,109.4,2014
New Orleans Hornets,82,19780,41.5,88.2,.471,8.7,23.1,.374,32.9,65.1,.505,18.4,24.2,.759,11.4,32.8,44.2,26.2,8.9,6.7,14.9,21.0,110.1,2014
Sacramento Kings,82,19830,41.6,88.3,.472,8.1,22.8,.355,33.6,65.5,.512,20.0,25.6,.783,12.6,33.6,46.2,26.6,8.1,6.7,15.6,21.1,111.4,2014
Charlotte Bobcats,82,19805,42.2,89.6,.471,9.5,24.5,.388,32.7,65.1,.502,17.6,23.6,.747,12.9,35.0,47.9,27.4,7.5,7.5,15.3,23.1,111.5,2014
Indiana Pacers*,82,19780,37.4,89.0,.420,7.1,20.5,.345,30.3,68.5,.443,17.5,23.2,.755,11.2,33.1,44.3,20.0,7.8,5.0,14.7,23.5,99.3,2015
Chicago Bulls*,82,19930,38.3,88.9,.430,7.2,20.5,.351,31.1,68.5,.454,16.8,22.3,.753,11.7,33.5,45.2,21.4,8.3,6.5,15.7,22.9,100.5,2015
San Antonio Spurs*,82,19755,39.6,89.2,.444,6.8,19.2,.353,32.8,70.0,.469,16.4,21.6,.760,11.0,33.3,44.3,21.3,8.0,4.8,14.5,20.3,102.4,2015
Golden State Warriors*,82,19830,38.0,87.0,.436,7.2,20.8,.344,30.8,66.2,.465,19.5,25.4,.765,11.0,33.6,44.6,21.2,8.2,4.3,15.5,19.9,102.6,2015
Charlotte Bobcats*,82,19905,39.4,89.2,.442,8.7,23.5,.369,30.7,65.7,.468,16.3,21.5,.759,10.2,36.1,46.3,22.4,6.7,5.4,14.2,22.4,103.8,2015
Oklahoma City Thunder*,82,19805,37.9,86.9,.436,9.0,25.0,.358,28.9,61.9,.468,19.2,26.4,.727,11.4,31.2,42.6,22.7,8.5,3.8,15.8,21.2,103.9,2015
Washington Wizards*,82,20055,39.0,85.2,.458,7.9,22.6,.347,31.1,62.5,.498,18.8,24.5,.765,10.6,33.8,44.4,23.4,8.1,4.1,16.9,20.5,104.6,2015
Memphis Grizzlies*,82,19805,39.4,87.7,.450,8.3,23.3,.355,31.1,64.3,.484,17.4,22.7,.766,10.9,32.4,43.3,22.0,8.0,5.5,15.7,20.9,104.6,2015
Los Angeles Clippers*,82,19755,38.8,88.1,.441,7.5,22.7,.332,31.3,65.4,.479,19.6,25.9,.755,12.8,32.6,45.4,24.2,7.2,3.6,16.0,24.3,104.8,2015
Toronto Raptors*,82,19955,38.7,86.1,.450,7.4,20.7,.360,31.3,65.4,.478,20.4,27.1,.752,11.2,32.8,44.0,22.5,7.8,4.6,16.0,23.8,105.3,2015
Miami Heat*,82,19880,39.2,85.7,.457,9.2,25.4,.362,30.0,60.3,.497,18.2,24.2,.750,11.7,32.0,43.8,23.2,8.8,3.4,18.1,22.2,105.8,2015
Minnesota Timberwolves,82,19855,41.2,87.5,.471,8.2,22.6,.364,33.0,64.9,.508,15.5,20.4,.756,11.3,33.7,45.0,23.3,8.0,5.7,16.7,24.0,106.2,2015
Houston Rockets*,82,19830,40.2,90.7,.443,8.4,23.7,.353,31.8,67.0,.475,17.5,23.2,.757,12.3,30.7,42.9,22.9,8.8,5.8,14.4,25.0,106.3,2015
Atlanta Hawks*,82,19830,40.5,87.5,.462,8.4,22.9,.365,32.1,64.6,.497,17.2,22.9,.748,11.3,34.4,45.7,24.3,8.6,4.5,15.9,21.0,106.4,2015
Phoenix Suns,82,19755,39.6,86.8,.456,7.1,20.7,.341,32.5,66.1,.492,20.6,26.8,.766,11.7,32.8,44.6,21.1,7.8,4.2,16.0,22.2,106.7,2015
Portland Trail Blazers*,82,19855,41.4,91.8,.451,6.8,19.2,.355,34.6,72.6,.476,17.8,23.2,.766,12.0,33.4,45.4,21.3,8.1,3.9,12.6,21.6,107.4,2015
Orlando Magic,82,19955,40.2,88.1,.456,8.5,22.8,.371,31.7,65.3,.485,18.6,24.2,.770,11.0,35.3,46.3,23.7,7.5,5.7,14.7,19.3,107.4,2015
Boston Celtics,82,19730,40.4,87.0,.465,7.0,20.2,.347,33.4,66.8,.500,19.8,26.0,.761,11.4,33.8,45.2,23.6,7.9,4.9,15.2,20.4,107.7,2015
Brooklyn Nets*,82,19880,39.3,86.0,.458,8.7,23.8,.367,30.6,62.2,.492,20.3,26.7,.760,12.2,34.2,46.4,22.7,8.0,4.4,17.1,22.5,107.7,2015
Cleveland Cavaliers,82,19930,40.1,88.6,.452,9.9,26.9,.367,30.2,61.6,.490,17.7,23.3,.757,10.9,34.3,45.1,26.3,7.6,6.0,14.8,20.7,107.7,2015
Denver Nuggets,82,19755,40.1,87.8,.457,7.5,21.4,.351,32.6,66.4,.491,20.5,26.9,.763,11.5,33.0,44.5,22.8,8.6,5.7,14.6,22.0,108.2,2015
Dallas Mavericks*,82,19830,40.1,86.3,.464,8.8,24.4,.359,31.3,61.9,.505,19.8,26.1,.758,12.2,33.2,45.4,23.4,8.2,3.7,17.0,21.1,108.7,2015
Sacramento Kings,82,19830,39.8,86.4,.461,8.9,23.5,.380,30.9,62.9,.491,20.2,27.4,.737,10.4,32.9,43.4,24.7,8.2,5.9,14.3,24.3,108.8,2015
New York Knicks,82,19855,39.3,85.7,.458,9.5,25.7,.371,29.7,60.0,.496,21.0,27.5,.765,11.3,34.8,46.1,21.7,6.9,3.7,16.0,21.6,109.1,2015
Detroit Pistons,82,19780,41.0,87.2,.470,8.7,23.9,.365,32.3,63.2,.510,19.0,25.1,.756,11.7,33.4,45.1,25.6,8.6,5.2,15.7,21.7,109.7,2015
Philadelphia 76ers,82,19855,40.0,85.0,.471,9.0,24.4,.370,31.0,60.7,.511,20.8,27.6,.754,11.9,35.0,46.9,26.1,9.0,6.8,17.0,20.6,109.9,2015
New Orleans Pelicans,82,19855,40.1,86.1,.465,8.6,24.0,.357,31.5,62.2,.507,21.5,28.5,.752,11.6,33.3,44.8,24.2,7.6,6.6,15.5,21.8,110.1,2015
Los Angeles Lakers,82,19705,42.5,90.7,.468,8.2,22.7,.361,34.2,68.0,.504,17.4,24.0,.727,13.2,36.4,49.6,26.1,9.8,4.8,14.4,19.5,110.6,2015
Utah Jazz,82,19780,41.7,88.2,.473,8.0,21.1,.376,33.7,67.0,.503,20.0,25.8,.773,11.2,35.1,46.3,23.7,8.2,5.3,13.7,22.2,111.3,2015
Milwaukee Bucks,82,19880,41.4,88.4,.468,9.2,24.0,.382,32.2,64.4,.500,19.9,26.5,.751,12.6,34.3,46.9,24.6,8.4,5.4,15.2,22.2,111.8,2015
Golden State Warriors*,82,19730,37.5,87.7,.428,7.3,21.7,.337,30.2,65.9,.458,19.0,24.9,.763,11.9,33.3,45.2,21.3,8.4,3.6,16.5,19.1,101.4,2016
San Antonio Spurs*,82,19955,39.0,88.0,.444,7.2,19.9,.360,31.9,68.1,.468,16.8,22.5,.745,10.4,33.9,44.3,21.8,8.3,4.6,15.0,20.7,102.0,2016
Milwaukee Bucks*,82,19930,37.3,85.5,.437,8.7,25.3,.342,28.7,60.2,.476,18.9,25.5,.742,12.0,33.0,45.0,23.4,9.1,5.0,18.2,21.1,102.2,2016
