,Season,Lg,Champion,MVP,Rookie of the Year,Points,Rebounds,Assists,Win Shares
66,1959,ABA,Pittsburgh Pipers,C. Hawkins,M. Daniels,D. Moe (1884),M. Daniels (1213),L. Brown (506),C. Hawkins (17.9)
67,1958,NBA,Philadelphia 76ers,W. Chamberlain,D. Bing,R. Barry (2775),W. Chamberlain (1957),G. Rodgers (908),W. Chamberlain (21.9)
68,1957,NBA,Boston Celtics,W. Chamberlain,R. Barry,W. Chamberlain (2649),W. Chamberlain (1943),O. Robertson (847),W. Chamberlain (21.4)
69,1956,NBA,Boston Celtics,B. Russell,W. Reed,W. Chamberlain (2534),B. Russell (1878),O. Robertson (861),O. Robertson (17.0)
70,1955,NBA,Boston Celtics,O. Robertson,J. Lucas,W. Chamberlain (2948),B. Russell (1930),O. Robertson (868),W. Chamberlain (25.0)
71,1954,NBA,Boston Celtics,B. Russell,T. Dischinger,W. Chamberlain (3586),W. Chamberlain (1946),G. Rodgers (825),W. Chamberlain (20.9)
72,1953,NBA,Boston Celtics,B. Russell,W. Bellamy,W. Chamberlain (4029),W. Chamberlain (2052),O. Robertson (899),W. Chamberlain (23.1)
73,1952,NBA,Boston Celtics,B. Russell,O. Robertson,W. Chamberlain (3033),W. Chamberlain (2149),O. Robertson (690),W. Chamberlain (18.8)
74,1951,NBA,Boston Celtics,W. Chamberlain,W. Chamberlain,W. Chamberlain (2707),W. Chamberlain (1941),B. Cousy (715),W. Chamberlain (17.0)
75,1950,NBA,Boston Celtics,B. Pettit,E. Baylor,B. Pettit (2105),B. Russell (1612),B. Cousy (557),B. Pettit (14.8)
76,1949,NBA,St. Louis Hawks,B. Russell,W. Sauldsberry,G. Yardley (2001),B. Russell (1564),B. Cousy (463),D. Schayes (13.7)
77,1948,NBA,Boston Celtics,B. Cousy,T. Heinsohn,P. Arizin (1817),M. Stokes (1256),B. Cousy (478),N. Johnston (13.7)
78,1947,NBA,Philadelphia Warriors,B. Pettit,M. Stokes,B. Pettit (1849),B. Pettit (1164),B. Cousy (642),N. Johnston (13.9)
79,1946,NBA,Syracuse Nationals,,B. Pettit,N. Johnston (1631),N. Johnston (1085),B. Cousy (557),N. Johnston (15.4)
80,1945,NBA,Minneapolis Lakers,,R. Felix,N. Johnston (1759),H. Gallatin (1098),B. Cousy (518),N. Johnston (18.3)
81,1944,NBA,Minneapolis Lakers,,M. Meineke,N. Johnston (1564),G. Mikan (1007),B. Cousy (547),N. Johnston (15.3)
82,1943,NBA,Minneapolis Lakers,,"M. Hutchins, B. Tosheff",P. Arizin (1674),L. Foust (880),A. Phillip (539),P. Arizin (16.0)
83,1942,NBA,Rochester Royals,,P. Arizin,G. Mikan (1932),D. Schayes (1080),A. Phillip (414),G. Mikan (23.4)
84,1941,NBA,Minneapolis Lakers,,A. Groza,G. Mikan (1865),,D. McGuire (386),G. Mikan (21.1)
85,1940,BAA,Minneapolis Lakers,,H. Shannon,G. Mikan (1698),,B. Davies (321),G. Mikan (20.9)
86,1939,BAA,Baltimore Bullets,,P. Hoffman,M. Zaslofsky (1007),,H. Dallmar (120),B. Feerick (10.5)
87,1938,BAA,Philadelphia Warriors,,,J. Fulks (1389),,E. Calverley (202),B. Feerick (18.6)
