Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,Year
2,Boston Celtics*,82,19830,.415,13.8,,.669,.268,.140,.109,.152,.331,,.455,.618,.319,.346,.371,.334,,.496,.823,,.034,204,,.225,821,,.230,.343,,17,1,2003
3,Chicago Bulls,82,19930,.445,10.9,,.852,.324,.169,.148,.211,.148,,.462,.590,.405,.366,.380,.350,,.562,.848,,.059,370,,.243,829,,.260,.363,,7,0,2003
4,Cleveland Cavaliers,82,19830,.422,11.1,,.867,.303,.159,.188,.216,.133,,.437,.596,.331,.361,.359,.327,,.572,.853,,.064,381,,.200,700,,.335,.373,,21,0,2003
5,Dallas Mavericks*,82,19780,.453,13.2,,.761,.253,.131,.136,.241,.239,,.475,.622,.416,.408,.391,.381,,.515,.843,,.032,211,,.206,808,,.242,.372,,11,0,2003
6,Denver Nuggets,82,19730,.411,11.2,,.874,.297,.171,.135,.272,.126,,.430,.567,.341,.380,.361,.278,,.629,.825,,.068,390,,.199,644,,.242,.251,,8,0,2003
7,Detroit Pistons*,82,19905,.430,13.1,,.763,.264,.135,.145,.219,.237,,.452,.568,.420,.364,.393,.358,,.553,.792,,.032,179,,.212,700,,.241,.362,,10,1,2003
8,Golden State Warriors,82,19755,.441,11.6,,.822,.271,.207,.123,.222,.178,,.462,.638,.361,.405,.373,.344,,.517,.819,,.046,300,,.191,794,,.217,.336,,11,0,2003
9,Houston Rockets,82,19930,.440,12.1,,.804,.305,.145,.126,.229,.196,,.462,.605,.380,.366,.376,.346,,.466,.879,,.065,381,,.223,754,,.240,.342,,20,1,2003
10,Indiana Pacers*,82,19905,.441,12.0,,.831,.278,.163,.163,.226,.169,,.461,.632,.357,.369,.392,.339,,.623,.876,,.043,270,,.222,828,,.222,.310,,5,0,2003
11,Los Angeles Clippers,82,19755,.437,11.1,,.818,.317,.194,.137,.170,.182,,.460,.591,.404,.334,.382,.331,,.518,.869,,.050,300,,.244,845,,.152,.341,,19,0,2003
12,Los Angeles Lakers*,82,19930,.451,12.3,,.801,.283,.159,.134,.225,.199,,.475,.641,.385,.352,.402,.356,,.571,.864,,.077,489,,.185,678,,.243,.346,,11,0,2003
13,Memphis Grizzlies,82,19930,.452,11.9,,.810,.287,.173,.132,.218,.190,,.473,.614,.404,.377,.399,.365,,.584,.822,,.061,371,,.204,728,,.258,.421,,13,0,2003
14,Miami Heat,82,19830,.412,12.9,,.831,.251,.127,.154,.299,.169,,.432,.561,.391,.362,.378,.316,,.519,.825,,.034,183,,.202,681,,.278,.359,,20,0,2003
15,Milwaukee Bucks*,82,19905,.457,12.6,,.771,.267,.136,.191,.177,.229,,.478,.599,.406,.431,.403,.383,,.527,.899,,.029,171,,.218,819,,.259,.352,,13,0,2003
16,Minnesota Timberwolves*,82,19805,.466,12.3,,.882,.249,.150,.156,.327,.118,,.479,.622,.435,.420,.418,.368,,.632,.851,,.043,278,,.187,704,,.239,.370,,7,1,2003
17,New Jersey Nets*,82,19755,.441,11.3,,.842,.340,.133,.112,.258,.158,,.462,.603,.371,.362,.366,.332,,.617,.890,,.069,406,,.240,843,,.190,.389,,11,0,2003
18,New Orleans Hornets*,82,19905,.435,12.0,,.839,.278,.132,.187,.241,.161,,.447,.563,.392,.402,.377,.376,,.582,.854,,.043,259,,.215,703,,.251,.430,,6,0,2003
