Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,O_TOV%,ORB%,O_FT/FGA,D_eFG%,DRB%,D_FT/FGA,Year
Phoenix Suns,25.7,39.0,43.0,38,44,-0.9,0.52,-0.38,105.3,106.2,-0.9,96.3,0.251,0.291,0.537,13.7,24.5,0.191,0.497,73.5,0.221,2015
Detroit Pistons,25.9,32.0,50.0,38,44,-1.0,-0.39,-1.39,105.3,106.4,-1.1,92.8,0.261,0.29,0.515,12.3,27.7,0.184,0.502,75.0,0.192,2015
Miami Heat,28.5,37.0,45.0,33,49,-2.6,-0.32,-2.92,103.9,106.7,-2.8,90.9,0.306,0.262,0.54,14.5,23.2,0.227,0.505,73.4,0.213,2015
Brooklyn Nets*,28.6,38.0,44.0,33,49,-2.88,-0.25,-3.13,104.4,107.4,-3.0,92.7,0.267,0.24,0.529,13.0,23.9,0.2,0.506,73.7,0.185,2015
Charlotte Hornets,26.0,33.0,49.0,32,50,-3.17,-0.27,-3.44,100.1,103.5,-3.4,93.0,0.269,0.226,0.498,11.2,22.1,0.202,0.487,79.3,0.188,2015
Denver Nuggets,26.4,30.0,52.0,31,51,-3.55,0.48,-3.07,104.5,108.2,-3.7,96.1,0.278,0.284,0.518,12.7,26.6,0.204,0.504,74.7,0.239,2015
Sacramento Kings,26.0,29.0,53.0,31,51,-3.71,0.64,-3.07,105.3,109.2,-3.9,95.4,0.363,0.204,0.542,14.8,26.5,0.276,0.507,75.2,0.2,2015
Orlando Magic,24.3,25.0,57.0,25,57,-5.72,-0.15,-5.87,101.6,107.7,-6.1,93.8,0.23,0.235,0.524,14.0,23.1,0.168,0.514,76.0,0.21,2015
Los Angeles Lakers,27.0,21.0,61.0,23,59,-6.84,0.67,-6.17,103.4,110.6,-7.2,94.0,0.276,0.22,0.513,12.1,25.4,0.204,0.518,76.3,0.231,2015
Minnesota Timberwolves,24.4,16.0,66.0,19,63,-8.79,0.79,-8.0,102.9,112.2,-9.3,94.4,0.309,0.179,0.517,13.7,26.6,0.24,0.537,71.6,0.187,2015
Philadelphia 76ers,23.2,18.0,64.0,18,64,-8.98,-0.07,-9.04,95.5,104.8,-9.3,95.7,0.288,0.319,0.494,16.0,25.5,0.195,0.497,73.0,0.225,2015
New York Knicks,26.9,17.0,65.0,17,65,-9.32,-0.18,-9.5,99.9,110.0,-10.1,91.2,0.234,0.24,0.508,14.0,24.5,0.18,0.512,73.1,0.234,2015
League Average,26.8,,,41,41,0.0,0.0,0.0,105.6,105.6,,93.9,0.273,0.268,0.534,13.3,25.1,0.205,0.496,74.9,0.205,2015
San Antonio Spurs*,30.3,67.0,15.0,67,15,10.63,-0.36,10.28,110.3,99.0,11.3,93.8,0.246,0.223,0.564,12.4,23.0,0.197,0.477,79.1,0.182,2016
Golden State Warriors*,27.4,73.0,9.0,65,17,10.76,-0.38,10.38,114.5,103.8,10.7,99.3,0.25,0.362,0.593,13.5,23.5,0.191,0.479,76.0,0.208,2016
Oklahoma City Thunder*,25.8,55.0,27.0,59,23,7.28,-0.19,7.09,113.1,105.6,7.5,96.7,0.292,0.275,0.565,14.0,31.1,0.228,0.484,76.0,0.205,2016
Cleveland Cavaliers*,28.1,57.0,25.0,57,25,6.0,-0.55,5.45,110.9,104.5,6.4,93.3,0.259,0.352,0.558,12.7,25.1,0.194,0.496,78.5,0.205,2016
Toronto Raptors*,26.3,56.0,26.0,53,29,4.5,-0.42,4.08,110.0,105.2,4.8,92.9,0.328,0.287,0.552,12.3,24.6,0.255,0.498,77.7,0.201,2016
Los Angeles Clippers*,29.7,53.0,29.0,53,29,4.28,-0.15,4.13,108.3,103.8,4.5,95.8,0.318,0.324,0.556,12.1,20.1,0.22,0.48,73.8,0.222,2016
Atlanta Hawks*,28.2,48.0,34.0,51,31,3.61,-0.12,3.49,105.1,101.4,3.7,97.1,0.237,0.336,0.552,13.8,19.1,0.185,0.48,74.6,0.194,2016
Boston Celtics*,25.2,48.0,34.0,50,32,3.21,-0.37,2.84,106.8,103.6,3.2,98.5,0.264,0.293,0.531,12.1,25.1,0.208,0.487,74.6,0.231,2016
Charlotte Hornets*,26.0,48.0,34.0,49,33,2.72,-0.36,2.36,107.1,104.3,2.8,95.7,0.28,0.348,0.545,11.7,20.0,0.222,0.496,79.8,0.191,2016
Utah Jazz,24.2,40.0,42.0,46,36,1.79,0.05,1.84,105.9,103.9,2.0,91.0,0.286,0.297,0.54,14.2,25.9,0.213,0.495,77.7,0.21,2016
Miami Heat*,28.4,48.0,34.0,46,36,1.65,-0.14,1.5,106.1,104.4,1.7,93.6,0.282,0.221,0.545,13.3,23.8,0.21,0.485,77.8,0.196,2016
Indiana Pacers*,26.9,45.0,37.0,46,36,1.71,-0.09,1.62,104.6,102.9,1.7,96.6,0.268,0.27,0.536,13.5,23.4,0.205,0.489,76.0,0.205,2016
Portland Trail Blazers*,24.3,44.0,38.0,43,39,0.83,0.15,0.98,108.8,108.0,0.8,96.0,0.268,0.332,0.548,13.2,25.9,0.202,0.503,76.2,0.225,2016
Detroit Pistons*,25.0,44.0,38.0,43,39,0.61,-0.18,0.43,106.1,105.5,0.6,95.1,0.296,0.303,0.522,12.2,27.0,0.197,0.504,79.3,0.196,2016
Houston Rockets*,27.8,41.0,41.0,42,40,0.2,0.14,0.34,108.3,108.1,0.2,97.6,0.352,0.37,0.553,14.2,25.7,0.244,0.516,72.8,0.219,2016
Dallas Mavericks*,30.3,42.0,40.0,40,42,-0.3,0.29,-0.02,106.7,107.0,-0.3,94.3,0.265,0.339,0.544,12.0,20.6,0.211,0.504,76.2,0.198,2016
Washington Wizards,27.3,41.0,41.0,40,42,-0.5,0.0,-0.5,105.3,105.8,-0.5,98.5,0.263,0.282,0.544,13.1,20.6,0.192,0.515,77.7,0.218,2016
Chicago Bulls,27.6,42.0,40.0,37,45,-1.48,0.01,-1.46,105.0,106.5,-1.5,95.7,0.24,0.244,0.526,12.6,24.5,0.189,0.485,74.9,0.182,2016
Orlando Magic,23.9,35.0,47.0,36,46,-1.62,-0.06,-1.68,105.1,106.8,-1.7,96.0,0.232,0.255,0.533,12.8,23.1,0.175,0.513,76.5,0.215,2016
Sacramento Kings,26.6,33.0,49.0,34,48,-2.48,0.16,-2.32,106.0,108.4,-2.4,100.0,0.295,0.26,0.546,14.2,23.9,0.214,0.521,74.9,0.202,2016
Memphis Grizzlies*,30.5,42.0,40.0,35,47,-2.24,0.11,-2.14,105.4,107.8,-2.4,93.3,0.295,0.222,0.524,12.3,25.3,0.231,0.518,75.1,0.251,2016
New York Knicks,27.2,32.0,50.0,33,49,-2.73,0.0,-2.74,104.6,107.6,-3.0,93.4,0.255,0.256,0.527,12.6,23.7,0.205,0.487,75.8,0.204,2016
Denver Nuggets,24.7,33.0,49.0,33,49,-3.1,0.29,-2.81,105.6,108.9,-3.3,95.7,0.282,0.277,0.531,13.2,25.8,0.216,0.515,77.3,0.216,2016
Minnesota Timberwolves,24.6,29.0,53.0,31,51,-3.54,0.15,-3.38,106.5,110.1,-3.6,95.2,0.332,0.202,0.549,13.9,24.3,0.263,0.524,74.7,0.2,2016
New Orleans Pelicans,26.6,30.0,52.0,31,51,-3.79,0.24,-3.56,105.6,109.5,-3.9,96.8,0.259,0.277,0.537,12.3,21.2,0.201,0.523,78.8,0.225,2016
Milwaukee Bucks,23.5,33.0,49.0,29,53,-4.18,0.2,-3.98,104.3,108.7,-4.4,94.2,0.276,0.189,0.537,14.2,24.9,0.207,0.51,73.1,0.221,2016
Phoenix Suns,26.0,23.0,59.0,24,58,-6.66,0.34,-6.32,102.2,109.0,-6.8,98.5,0.271,0.302,0.526,15.2,25.4,0.204,0.523,77.1,0.237,2016
Brooklyn Nets,26.9,21.0,61.0,22,60,-7.35,0.24,-7.12,103.2,110.9,-7.7,95.2,0.246,0.218,0.527,13.6,24.1,0.186,0.534,75.7,0.176,2016
Los Angeles Lakers,26.5,17.0,65.0,17,65,-9.56,0.64,-8.92,101.6,111.6,-10.0,95.6,0.292,0.29,0.509,12.5,23.1,0.228,0.523,74.7,0.202,2016
Philadelphia 76ers,23.3,10.0,72.0,16,66,-10.23,0.31,-9.92,98.8,109.2,-10.4,97.9,0.269,0.327,0.519,14.8,20.6,0.186,0.51,74.0,0.24,2016
League Average,26.8,,,41,41,0.0,0.0,0.0,106.4,106.4,,95.8,0.276,0.285,0.541,13.2,23.8,0.209,0.502,76.2,0.209,2016
Golden State Warriors*,28.2,67.0,15.0,67,15,11.63,-0.28,11.35,115.6,104.0,11.6,99.8,0.259,0.359,0.597,13.2,22.8,0.204,0.486,74.9,0.198,2017
San Antonio Spurs*,29.6,61.0,21.0,60,22,7.2,-0.06,7.13,111.1,103.5,7.6,94.2,0.263,0.281,0.564,12.6,24.0,0.21,0.492,77.6,0.192,2017
Houston Rockets*,27.4,55.0,27.0,55,27,5.77,0.08,5.84,114.7,109.0,5.7,100.0,0.304,0.462,0.583,13.3,24.6,0.233,0.519,75.8,0.194,2017
Toronto Raptors*,26.1,51.0,31.0,52,30,4.21,-0.56,3.65,112.3,107.8,4.5,94.7,0.293,0.289,0.561,11.8,25.0,0.233,0.507,76.3,0.223,2017
Los Angeles Clippers*,30.0,51.0,31.0,52,30,4.29,0.13,4.42,112.7,108.2,4.5,96.1,0.312,0.329,0.574,12.0,21.5,0.233,0.506,76.9,0.211,2017
Utah Jazz*,26.8,51.0,31.0,52,30,3.94,0.06,4.0,109.6,105.3,4.3,91.6,0.288,0.327,0.563,13.2,23.2,0.215,0.493,78.9,0.195,2017
Cleveland Cavaliers*,29.2,51.0,31.0,49,33,3.18,-0.31,2.87,113.6,110.3,3.3,96.2,0.275,0.399,0.58,12.6,21.9,0.206,0.516,75.8,0.174,2017
Boston Celtics*,25.9,53.0,29.0,48,34,2.63,-0.39,2.25,111.2,108.4,2.8,96.8,0.273,0.393,0.567,12.2,21.2,0.22,0.503,75.3,0.223,2017
Washington Wizards*,26.0,49.0,33.0,46,36,1.8,-0.45,1.36,111.2,109.3,1.9,97.4,0.254,0.284,0.564,12.8,24.1,0.199,0.524,75.5,0.213,2017
Miami Heat,26.5,41.0,41.0,44,38,1.06,-0.29,0.77,107.8,106.7,1.1,95.2,0.251,0.314,0.541,12.4,24.2,0.177,0.496,76.4,0.22,2017
Oklahoma City Thunder*,24.7,47.0,35.0,43,39,0.76,0.39,1.14,108.3,107.5,0.8,97.8,0.295,0.295,0.54,13.2,27.9,0.22,0.511,79.0,0.218,2017
Memphis Grizzlies*,29.5,43.0,39.0,42,40,0.49,0.47,0.96,107.7,107.1,0.6,92.3,0.28,0.316,0.535,12.1,24.8,0.219,0.506,77.5,0.256,2017
Denver Nuggets,25.2,40.0,42.0,42,40,0.51,0.19,0.7,113.2,112.7,0.5,98.3,0.276,0.329,0.568,13.2,27.3,0.214,0.532,78.7,0.194,2017
Chicago Bulls*,26.9,41.0,41.0,42,40,0.43,-0.39,0.03,107.4,107.0,0.4,95.3,0.259,0.256,0.53,12.3,27.0,0.206,0.507,76.8,0.169,2017
Charlotte Hornets,26.5,36.0,46.0,42,40,0.2,-0.26,-0.07,108.8,108.6,0.2,95.7,0.279,0.335,0.547,10.7,19.9,0.227,0.523,79.6,0.164,2017
Indiana Pacers*,27.0,42.0,40.0,40,42,-0.22,-0.42,-0.64,108.6,108.8,-0.2,95.9,0.261,0.272,0.558,12.8,21.2,0.212,0.512,75.5,0.225,2017
Milwaukee Bucks*,25.6,42.0,40.0,40,42,-0.18,-0.26,-0.45,109.1,109.3,-0.2,94.5,0.274,0.29,0.565,13.2,21.5,0.21,0.518,75.4,0.215,2017
Portland Trail Blazers*,24.8,41.0,41.0,40,42,-0.52,0.3,-0.23,110.3,110.8,-0.5,96.7,0.275,0.322,0.559,12.5,23.0,0.214,0.508,76.8,0.241,2017
Atlanta Hawks*,27.9,43.0,39.0,39,43,-0.85,-0.38,-1.23,104.9,105.7,-0.8,97.4,0.295,0.309,0.541,14.2,23.6,0.215,0.507,76.1,0.179,2017
Detroit Pistons,25.4,37.0,45.0,38,44,-1.12,-0.17,-1.29,106.0,107.1,-1.1,95.0,0.218,0.263,0.521,10.9,24.1,0.157,0.516,81.2,0.197,2017
Minnesota Timberwolves,24.0,31.0,51.0,38,44,-1.11,0.47,-0.64,110.8,112.0,-1.2,94.6,0.287,0.249,0.555,12.9,27.2,0.229,0.535,75.9,0.212,2017
New Orleans Pelicans,25.7,34.0,48.0,35,47,-2.1,0.41,-1.69,105.2,107.4,-2.2,98.0,0.256,0.308,0.539,11.7,18.5,0.192,0.509,76.8,0.177,2017
Dallas Mavericks,27.6,33.0,49.0,33,49,-2.93,0.4,-2.53,105.6,108.8,-3.2,92.2,0.225,0.366,0.541,11.6,18.1,0.18,0.529,77.6,0.218,2017
New York Knicks,27.3,31.0,51.0,31,51,-3.67,-0.2,-3.87,107.7,111.5,-3.8,96.0,0.239,0.279,0.534,12.4,26.6,0.188,0.511,74.1,0.214,2017
Sacramento Kings,27.9,32.0,50.0,31,51,-3.88,0.58,-3.29,107.3,111.3,-4.0,94.9,0.284,0.291,0.556,13.7,21.0,0.22,0.528,76.3,0.227,2017
Phoenix Suns,25.0,24.0,58.0,27,55,-5.63,0.49,-5.14,106.6,112.2,-5.6,100.3,0.297,0.255,0.538,13.4,26.0,0.231,0.525,76.4,0.264,2017
Philadelphia 76ers,24.6,28.0,54.0,26,56,-5.7,-0.14,-5.83,103.2,108.9,-5.7,98.5,0.258,0.349,0.539,14.9,22.4,0.199,0.512,75.3,0.234,2017
Brooklyn Nets,26.0,20.0,62.0,24,58,-6.73,-0.01,-6.74,104.1,110.7,-6.6,101.3,0.289,0.371,0.551,14.7,19.6,0.228,0.513,76.1,0.212,2017
Orlando Magic,25.3,29.0,53.0,24,58,-6.57,-0.04,-6.61,103.7,110.5,-6.8,96.8,0.246,0.3,0.524,12.1,21.6,0.184,0.523,77.4,0.201,2017
Los Angeles Lakers,25.1,26.0,56.0,24,58,-6.88,0.58,-6.29,106.0,113.0,-7.0,98.5,0.259,0.295,0.537,13.5,25.0,0.195,0.542,75.8,0.213,2017
League Average,26.6,,,41,41,0.0,0.0,0.0,108.8,108.8,,96.4,0.271,0.316,0.552,12.7,23.3,0.209,0.514,76.7,0.209,2017
Houston Rockets*,29.8,65.0,17.0,61,21,8.48,-0.27,8.21,114.7,106.1,8.6,97.6,0.298,0.502,0.59,12.7,21.3,0.233,0.521,79.9,0.171,2018
Toronto Raptors*,25.8,59.0,23.0,60,22,7.78,-0.49,7.29,113.8,105.9,7.9,97.4,0.25,0.377,0.575,12.1,23.0,0.198,0.501,77.7,0.212,2018
Golden State Warriors*,28.8,58.0,24.0,56,26,5.98,-0.19,5.79,113.6,107.6,6.0,99.6,0.239,0.339,0.603,14.1,21.0,0.195,0.504,76.3,0.186,2018
Utah Jazz*,26.7,48.0,34.0,53,29,4.3,0.17,4.47,108.4,103.9,4.5,95.7,0.26,0.357,0.564,13.7,21.5,0.202,0.506,79.8,0.19,2018
Philadelphia 76ers*,25.8,52.0,30.0,53,29,4.5,-0.2,4.3,109.5,105.0,4.5,99.8,0.263,0.344,0.568,14.6,25.3,0.198,0.492,78.6,0.218,2018
Boston Celtics*,24.7,55.0,27.0,51,31,3.59,-0.35,3.23,107.6,103.9,3.7,96.0,0.243,0.357,0.552,13.0,21.5,0.188,0.495,78.4,0.191,2018
Oklahoma City Thunder*,27.3,48.0,34.0,50,32,3.41,0.0,3.42,110.7,107.2,3.5,96.7,0.275,0.345,0.546,12.4,27.7,0.197,0.525,77.4,0.193,2018
San Antonio Spurs*,29.3,47.0,35.0,49,33,2.89,0.0,2.89,107.9,104.8,3.1,95.0,0.245,0.282,0.543,12.2,23.7,0.189,0.507,78.6,0.17,2018
Portland Trail Blazers*,25.6,49.0,33.0,48,34,2.6,0.0,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.549,12.3,23.3,0.192,0.503,79.1,0.193,2018
Minnesota Timberwolves*,27.1,47.0,35.0,47,35,2.23,0.12,2.35,113.4,111.1,2.3,96.0,0.28,0.261,0.566,11.4,24.4,0.225,0.539,76.4,0.189,2018
Denver Nuggets,25.1,46.0,36.0,45,37,1.48,0.09,1.57,112.5,111.0,1.5,96.8,0.258,0.357,0.57,13.4,25.7,0.198,0.539,77.5,0.173,2018
Indiana Pacers*,26.2,48.0,34.0,45,37,1.38,-0.2,1.18,109.5,108.1,1.4,96.0,0.222,0.284,0.557,12.3,22.7,0.173,0.527,76.2,0.174,2018
New Orleans Pelicans*,27.6,48.0,34.0,44,38,1.3,0.18,1.48,109.6,108.3,1.3,100.5,0.237,0.319,0.573,13.3,20.0,0.183,0.513,76.7,0.175,2018
Cleveland Cavaliers*,30.6,50.0,32.0,43,39,0.94,-0.35,0.59,112.9,111.9,1.0,98.0,0.275,0.379,0.584,12.6,20.1,0.214,0.54,77.3,0.166,2018
Washington Wizards*,26.9,43.0,39.0,43,39,0.59,-0.06,0.53,109.3,108.7,0.6,96.6,0.254,0.31,0.56,13.3,23.5,0.196,0.522,77.1,0.212,2018
Miami Heat*,26.5,44.0,38.0,42,40,0.48,-0.33,0.15,106.8,106.3,0.5,95.6,0.229,0.358,0.551,13.3,21.5,0.173,0.507,79.0,0.215,2018
Charlotte Hornets,26.6,36.0,46.0,42,40,0.26,-0.19,0.07,109.4,109.1,0.3,98.4,0.312,0.314,0.549,11.4,22.2,0.233,0.532,80.7,0.165,2018
Los Angeles Clippers,27.0,42.0,40.0,41,41,0.04,0.11,0.15,110.3,110.2,0.1,98.7,0.299,0.314,0.564,13.2,23.5,0.222,0.52,76.1,0.203,2018
Detroit Pistons,25.9,39.0,43.0,41,41,-0.15,-0.11,-0.26,107.2,107.3,-0.1,96.2,0.227,0.333,0.543,12.3,22.7,0.169,0.524,78.5,0.172,2018
Milwaukee Bucks*,25.9,44.0,38.0,40,42,-0.3,-0.15,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,0.571,12.9,20.4,0.22,0.528,75.9,0.22,2018
Los Angeles Lakers,23.7,35.0,47.0,37,45,-1.55,0.11,-1.44,106.5,108.0,-1.5,100.3,0.264,0.329,0.548,13.8,23.6,0.188,0.514,77.7,0.19,2018
Dallas Mavericks,27.7,24.0,58.0,33,49,-3.04,0.34,-2.7,106.3,109.5,-3.2,95.6,0.217,0.382,0.544,11.6,18.0,0.166,0.532,78.9,0.193,2018
New York Knicks,26.3,29.0,53.0,32,50,-3.56,0.03,-3.53,107.1,110.7,-3.6,96.8,0.216,0.266,0.544,13.3,24.1,0.17,0.522,76.7,0.208,2018
Brooklyn Nets,25.1,28.0,54.0,31,51,-3.74,0.07,-3.67,106.9,110.6,-3.7,98.9,0.26,0.411,0.551,13.6,21.0,0.201,0.517,77.0,0.201,2018
Orlando Magic,25.6,25.0,57.0,28,54,-4.82,-0.1,-4.92,105.2,110.1,-4.9,98.1,0.238,0.342,0.545,13.3,20.0,0.18,0.525,75.6,0.187,2018
Atlanta Hawks,25.4,24.0,58.0,27,55,-5.45,0.15,-5.3,105.0,110.6,-5.6,98.3,0.236,0.363,0.547,14.1,21.1,0.185,0.536,76.2,0.183,2018
Memphis Grizzlies,26.0,22.0,60.0,25,57,-6.21,0.39,-5.81,104.5,111.0,-6.5,94.9,0.255,0.317,0.539,14.0,22.4,0.201,0.529,76.5,0.256,2018
Chicago Bulls,24.4,27.0,55.0,23,59,-7.04,0.2,-6.84,103.8,110.9,-7.1,98.3,0.216,0.35,0.529,12.6,20.6,0.164,0.542,80.6,0.184,2018
Sacramento Kings,26.4,27.0,55.0,23,59,-6.99,0.39,-6.6,103.7,111.1,-7.4,94.9,0.194,0.278,0.529,12.8,21.5,0.143,0.542,77.6,0.199,2018
Phoenix Suns,23.7,21.0,61.0,19,63,-9.37,0.57,-8.8,103.5,112.8,-9.3,100.3,0.275,0.32,0.532,13.9,22.5,0.203,0.533,76.5,0.212,2018
League Average,26.6,,,41,41,0.0,0.0,0.0,108.6,108.6,,97.3,0.252,0.337,0.556,13.0,22.3,0.193,0.521,77.7,0.193,2018
Milwaukee Bucks*,26.9,60.0,22.0,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,12.0,20.8,0.197,0.503,80.3,0.162,2019
Golden State Warriors*,28.4,57.0,25.0,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,12.6,22.5,0.182,0.508,77.1,0.205,2019
Toronto Raptors*,27.3,58.0,24.0,56,26,6.09,-0.6,5.49,113.1,107.1,6.0,100.2,0.247,0.379,0.579,12.4,21.9,0.198,0.509,77.1,0.19,2019
Utah Jazz*,27.3,50.0,32.0,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,13.4,22.9,0.217,0.507,80.3,0.189,2019
Houston Rockets*,29.2,53.0,29.0,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,12.0,22.8,0.221,0.525,74.4,0.21,2019
Boston Celtics*,25.7,49.0,33.0,52,30,4.44,-0.54,3.9,112.7,108.3,4.4,99.2,0.215,0.381,0.567,11.1,21.6,0.173,0.514,77.0,0.198,2019
Portland Trail Blazers*,26.2,53.0,29.0,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,12.1,26.6,0.21,0.516,77.9,0.195,2019
Denver Nuggets*,24.9,54.0,28.0,51,31,3.95,0.24,4.19,113.0,108.9,4.1,97.7,0.232,0.348,0.558,11.9,26.6,0.175,0.521,78.0,0.194,2019
Indiana Pacers*,27.0,48.0,34.0,50,32,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,12.4,21.9,0.182,0.516,76.2,0.184,2019
Oklahoma City Thunder*,25.7,49.0,33.0,50,32,3.4,0.15,3.56,110.3,107.0,3.3,102.8,0.266,0.347,0.545,11.7,26.0,0.19,0.523,78.2,0.206,2019
Philadelphia 76ers*,26.4,51.0,31.0,48,34,2.7,-0.44,2.25,112.6,110.0,2.6,101.6,0.312,0.342,0.574,12.9,24.5,0.241,0.512,78.6,0.206,2019
San Antonio Spurs*,28.8,48.0,34.0,45,37,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.286,0.572,11.0,21.0,0.194,0.528,79.4,0.17,2019
Los Angeles Clippers*,27.2,48.0,34.0,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,12.7,22.0,0.258,0.514,76.0,0.224,2019
Orlando Magic*,25.7,42.0,40.0,43,39,0.71,-0.43,0.28,108.9,108.1,0.8,98.1,0.216,0.36,0.55,11.9,22.0,0.168,0.515,79.7,0.186,2019
Brooklyn Nets*,25.4,42.0,40.0,41,41,-0.07,-0.33,-0.4,109.6,109.7,-0.1,100.8,0.284,0.403,0.556,13.0,23.8,0.211,0.512,76.4,0.19,2019
Detroit Pistons*,26.9,41.0,41.0,40,42,-0.24,-0.31,-0.56,109.0,109.2,-0.2,97.4,0.262,0.394,0.544,12.3,24.8,0.195,0.526,78.7,0.211,2019
Miami Heat,27.0,39.0,43.0,40,42,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,13.1,24.8,0.172,0.51,77.6,0.201,2019
Sacramento Kings,24.8,39.0,43.0,38,44,-1.12,0.31,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,0.554,11.5,23.1,0.177,0.533,75.5,0.207,2019
Charlotte Hornets,26.6,39.0,43.0,38,44,-1.1,-0.22,-1.32,111.4,112.5,-1.1,98.7,0.257,0.378,0.554,10.9,21.7,0.205,0.538,77.1,0.179,2019
New Orleans Pelicans,25.7,33.0,49.0,38,44,-1.33,0.23,-1.1,111.4,112.6,-1.2,103.3,0.254,0.324,0.563,12.6,24.1,0.193,0.532,76.8,0.193,2019
Dallas Mavericks,26.9,33.0,49.0,38,44,-1.28,0.42,-0.87,109.4,110.7,-1.3,99.0,0.291,0.422,0.555,12.7,22.7,0.216,0.522,77.5,0.191,2019
Minnesota Timberwolves,26.2,36.0,46.0,37,45,-1.5,0.48,-1.02,111.4,112.9,-1.5,100.2,0.267,0.315,0.552,11.4,24.6,0.21,0.538,74.9,0.19,2019
Los Angeles Lakers,26.2,37.0,45.0,37,45,-1.72,0.39,-1.33,107.8,109.5,-1.7,103.2,0.257,0.342,0.554,13.4,22.2,0.18,0.516,76.4,0.192,2019
Memphis Grizzlies,27.7,33.0,49.0,34,48,-2.6,0.51,-2.08,106.1,108.8,-2.7,96.6,0.272,0.342,0.548,12.9,20.0,0.21,0.521,77.6,0.232,2019
Washington Wizards,26.5,32.0,50.0,34,48,-2.9,-0.4,-3.3,111.1,113.9,-2.8,101.4,0.266,0.37,0.567,12.3,21.3,0.204,0.546,74.1,0.199,2019
Atlanta Hawks,25.1,29.0,53.0,27,55,-6.02,-0.04,-6.06,108.1,113.9,-5.8,103.9,0.255,0.403,0.555,14.3,24.7,0.192,0.541,76.4,0.237,2019
Chicago Bulls,24.0,22.0,60.0,21,61,-8.41,0.1,-8.32,104.8,113.2,-8.4,99.0,0.235,0.295,0.541,12.7,19.4,0.184,0.541,77.3,0.188,2019
New York Knicks,23.4,17.0,65.0,19,63,-9.21,0.28,-8.93,104.5,113.7,-9.2,99.6,0.27,0.334,0.529,12.4,22.1,0.205,0.533,76.1,0.203,2019
Phoenix Suns,24.0,19.0,63.0,19,63,-9.34,0.73,-8.61,105.9,115.1,-9.2,100.5,0.259,0.335,0.552,13.8,20.5,0.202,0.545,72.5,0.236,2019
Cleveland Cavaliers,25.2,19.0,63.0,19,63,-9.61,0.22,-9.39,107.7,117.6,-9.9,96.6,0.236,0.332,0.54,12.2,23.7,0.187,0.564,77.0,0.181,2019
League Average,26.4,,,41,41,0.0,0.0,0.0,110.4,110.4,,100.0,0.259,0.359,0.56,12.4,22.9,0.198,0.524,77.1,0.198,2019
Milwaukee Bucks*,29.2,56.0,17.0,57,16,10.08,-0.67,9.41,112.4,102.9,9.5,105.1,0.271,0.428,0.583,12.9,20.7,0.201,0.489,81.6,0.178,2020
Boston Celtics*,25.3,48.0,24.0,50,22,6.31,-0.47,5.83,113.3,107.0,6.3,99.5,0.259,0.386,0.57,12.2,23.9,0.207,0.509,77.4,0.215,2020
Los Angeles Clippers*,27.4,49.0,23.0,50,22,6.44,0.21,6.66,113.9,107.6,6.3,101.5,0.295,0.375,0.577,12.6,23.5,0.233,0.506,77.6,0.206,2020
Toronto Raptors*,26.6,53.0,19.0,50,22,6.24,-0.26,5.97,111.1,105.0,6.1,100.9,0.264,0.421,0.574,13.1,21.3,0.21,0.502,76.7,0.202,2020
Los Angeles Lakers*,29.5,52.0,19.0,48,23,5.79,0.49,6.28,112.0,106.3,5.7,100.9,0.276,0.358,0.573,13.3,24.5,0.201,0.515,78.8,0.205,2020
Dallas Mavericks*,26.1,43.0,32.0,49,26,4.95,-0.07,4.87,116.7,111.7,5.0,99.3,0.264,0.457,0.581,11.2,23.2,0.206,0.525,77.7,0.175,2020
Miami Heat*,25.9,44.0,29.0,43,30,2.95,-0.35,2.59,112.5,109.5,3.0,98.3,0.299,0.419,0.587,13.5,20.3,0.234,0.523,79.5,0.213,2020
Houston Rockets*,29.2,44.0,28.0,42,30,2.96,0.17,3.13,112.9,110.1,2.8,103.7,0.288,0.501,0.578,12.6,21.0,0.228,0.529,75.6,0.197,2020
Utah Jazz*,27.3,44.0,28.0,42,30,2.47,0.05,2.52,112.3,109.9,2.4,98.6,0.268,0.414,0.585,13.7,21.6,0.208,0.518,78.9,0.185,2020
Philadelphia 76ers*,26.3,43.0,30.0,42,31,2.38,-0.13,2.25,111.3,109.0,2.3,99.0,0.255,0.36,0.566,12.7,23.9,0.193,0.523,80.3,0.214,2020
